marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date
US,42224475,R3OJDCKPV57Z4V,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,4,0,0,0,1,maps only,"Handy for a map program, but it Does Not Show satellite views like google earth, just the drawn map.",2015-08-31
US,15983935,R3KMPLBL4OWGM7,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,The best and getting better.,2015-08-31
US,2388907,R1LTJS3MY5X4Z7,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,best app!,2015-08-31
US,15480033,R1DKAGGNC3B87W,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Easy to use and read.,2015-08-31
US,42633611,R2QO2ZUX2S38T5,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,2,0,0,0,1,No really happy,"Really hard to use this version. I wanted to use this on my Fire, and I really wanted to like it.",2015-08-31
US,11215875,R1TPLRRFXT2PWS,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,4,0,0,0,1,Four Stars,Overall pretty good.,2015-08-31
US,21722047,R11Y9PZB1NXI7E,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,"Excellent program, explained in detail and no problems.",2015-08-31
US,14555147,R36LSTZYXNYYWM,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Excellent Mapping Service !!!,2015-08-31
US,14803975,RQ1EGDL8SPU6S,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,great show,A really great show.,2015-08-31
US,51399172,R3D9QIC3X1WECT,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Google map app,"Love it, love it, love it!  Works far better than any other map app.  Thanks Google!",2015-08-31
US,16829657,R32EFQ0UWBC0QQ,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,1,0,0,0,1,One Star,Not what I was looking for.,2015-08-30
US,22444220,R2MEECAU5VDHJ4,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,4,0,0,0,1,Four Stars,I only tried it one time and it worked very well.,2015-08-30
US,12753254,R30U1OD1T4U0Q3,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,great for directions,"great for directions, simpler than mapquest  .my daughter downloaded this to my fire phone, she had it on her iPhone.",2015-08-30
US,43120139,RAYI898Y8355W,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,4,0,0,0,1,Great App for a Kindle,One of the best apps going. I like that I can get this app on my Kindle.,2015-08-30
US,25206355,R2ELVK172EVEU1,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Very good use it all the time on the road,2015-08-30
US,44686263,R30L7JX9F6OF8A,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Always up to date.,2015-08-30
US,15626714,RH2ESGBCQYBZA,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,this is a great app.,"I always believed in Google maps, this is a great app.",2015-08-30
US,10544190,R130WE4EBZOO5K,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,2,0,0,0,1,Not as good as it could be,Google maps could not get from Leesburg Fl to Sanford Fl airport without going on toll roads. I figured this out using an old paper map,2015-08-30
US,11539032,R2GMMZTLANFBOS,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,"Very addictive show to watch, for adults.","Great show just wish there were episodes.  Could you get up a few more really soon!?lol. Wishful thinking, ha.",2015-08-29
US,17064347,R8JPSAR6HBAQ3,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Good app,2015-08-29
US,52406900,R2RBX2E3ZCRTOR,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,5,6,0,1,Grateful tourist!,"On a recent trip to Barcelona (Spain) I used Google Maps to walk throughout the city.  I never felt that I didn't know where I was, and always got immediate feedback that I was walking the most efficient way to my destination.  I would never consider traveling without it.",2015-08-29
US,12452842,RCQ2SU1H62QAW,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,1,1,2,0,1,Why they took something that was dynamic and great and changed it to something that is fixed limited ...,either they changed or I can find where to + or - the map or switch to satellite view. I also can no longer enter a different enroute point on the map and have it accept the new route. Why they took something that was dynamic and great and changed it to something that is fixed limited and lacking previous ability isn't my idea of an improvement. MapQuest is now much better.,2015-08-28
US,15224192,R1HIMG7IK4C4UU,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,the best maps,2015-08-28
US,43882754,RY98SDCY77M04,B00SZFFC2I,563944246,Google Maps,Mobile_Apps,5,0,0,0,1,Five Stars,Where would I be without my Google maps LOST.,2015-08-28
