marketplace,customer_id,review_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,library,personalization,media player,ads
US,52472691,RZT8881UA9Z08,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,1708,1927,0,1,I had pandora but switched to spotify,"You get the radio stations pandora has, BUT you can pick your own music. The real bonus is you can download music to listen to offline. Awesome if you're taking a road trip or going on an airplane. You only need to login once every 30 days to referesh the license.<br /><br />Also, spotify automatically pushes the songs to all the devices you have the app installed on. I have it on my kindle, my phone, and two desktops. When I add a song, it shows up everywhere.",2014-06-26,positive,neutral,positive,neutral
US,19846072,R33O7L0GMQ5REC,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,1420,1614,0,1,Excellent spotify!,I can't find fault with this app. It's excellent. I love music and spotify is a dream come true for music lovers. Every artist and every song I look for I find. Keep up the great work spotify,2014-06-11,positive,neutral,positive,neutral
US,43296540,R2M8LVLXIDMQAO,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,1232,1398,0,1,easy to use,This application is very user friendly and has tremendous variety of music for all tastes.  Have only tried free version may give premium version a try later,2014-06-18,positive,neutral,positive,neutral
US,18347550,R8MAP0QEIP9EY,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,4,347,394,0,1,Good,I like it very much. It's great if you work in an office. I use this app almost every day.,2014-06-18,positive,neutral,positive,neutral
US,30216535,R3CI022L017WVE,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,321,363,0,1,love it,I must say the best music app ever.Every album you could ever want is on there.it's a must have app.,2014-06-13,positive,neutral,positive,neutral
US,3131098,RBYKS3ROGBYYL,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,305,342,0,0,love love love,I love my personalized mood boosting and long drive up beat playlists without commercials. Love spotify because it has shown me new artists and sounds i had forgotten about over the years. Definitely my kind of station.,2014-06-14,positive,positive,positive,neutral
US,17540171,R8VJYCJOQTOI1,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,280,315,0,1,great,This app is amazing you can listen to any song you like it's so fun to work out to and dance to I would totally get it.,2014-06-10,positive,neutral,positive,neutral
US,46332303,R2ZEF9V6UEN7NQ,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,265,294,0,1,"I can now use this on my Kindle without being charged, YES!","I don't want to sound as if I am being cheap, but I've been waiting to put it on my Kindle without being charged for a long time. Why they didn't do this sooner I'll never know. It works very well for my needs and I am glad to have on my Kindle. I can now listen and enjoy the music I want. For those who gave this a three stars or lower I am sorry you did. It has a few bad points, but you have to over look them and move on. I mean for its free, and there's nothing perfect these days. Take my word for it, down load it and enjoy. It's free what more do you want?",2014-10-03,positive,neutral,positive,negative
US,1520885,R36LV9JDAQHI0G,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,229,256,0,1,People don't understand this amazing app.,"This app is simply amazing. It's musical heaven. Almost any song or artist you can think of, right at your fingertips. A lot of people use it similarly to Pandora; they put it on a &quot;station&quot; or &quot;mix&quot; and that feature is decent. The algorithms aren't great honestly. It works best if you use it similarly to iTunes. Finding the songs, artists, or albums you like and putting them into playlists. You can have as many different playlists as you want. And for people that don't want to pay for premium service, you don't have to. You get all the aforementioned features with the free version. The premium version is far too expensive, and the only benefits I'm aware of are higher quality audio, offline capabilities, and unlimited skips. But with an app so spectacular, you don't need to pay $9.99 monthly for such petty benefits. Also, people that complain about having to create an account through Facebook or email, they don't email you constantly or post all over your Facebook. You can set your Facebook to disallow posts from spotify, and as far as email, I've had my account for 5 months and I don't think they have ever emailed me. Bottom line: this is a must-download for music lovers! Hope my review was helpful. :)",2014-12-16,positive,negative,positive,negative
US,14070684,R3AN16TO4QKRVY,B00KLBR6IC,933496237,Spotify Music,Mobile_Apps,5,226,251,0,1,LOVE music you will love spotify,"A wonderful app for any music lover,I find myself getting lost while queuing up a play list,I DIG the way you find new Talent then it shows you similar artists find myself browsing for quite some time,also must mention the fact that it provides the latest releases sometimes the day it's released .have stuck with this app for some time now and it's &quot;hear&quot; to stay ,Enjoy Folks",2014-09-26,positive,positive,positive,neutral
